id,center,availability,coefficient,total_dots,dot_ids,dot_coordinates,grids_ind_to_ind_distances,distance_avg,space_mean_speed,grid_density
237,"[36.0, 90.06664199358161]",f,Infinity,0,[],[],[],0,,0
238,"[48.0, 90.06664199358161]",t,1,0,[],[],[],0,,0
239,"[60.0, 90.06664199358161]",t,1,0,[],[],[],0,,0
240,"[72.0, 90.06664199358161]",t,1,0,[],[],[],0,,0
241,"[84.0, 90.06664199358161]",t,1,0,[],[],[],0,,0
242,"[96.0, 90.06664199358161]",t,1,0,[],[],[],0,,0
243,"[6.0, 93.53074360871936]",t,1,0,[],[],[],0,,0
244,"[18.0, 93.53074360871936]",t,1,0,[],[],[],0,,0
245,"[30.0, 93.53074360871936]",t,1,0,[],[],[],0,,0
246,"[42.0, 93.53074360871936]",f,Infinity,0,[],[],[],0,,0
247,"[54.0, 93.53074360871936]",t,1,0,[],[],[],0,,0
248,"[66.0, 93.53074360871936]",t,1,0,[],[],[],0,,0
249,"[78.0, 93.53074360871936]",t,1,0,[],[],[],0,,0
250,"[90.0, 93.53074360871936]",t,1,0,[],[],[],0,,0
251,"[102.0, 93.53074360871936]",t,1,0,[],[],[],0,,0
252,"[0.0, 96.99484522385713]",f,Infinity,0,[],[],[],0,,0
253,"[12.0, 96.99484522385713]",t,1,0,[],[],[],0,,0
254,"[24.0, 96.99484522385713]",f,Infinity,0,[],[],[],0,,0
255,"[36.0, 96.99484522385713]",f,Infinity,0,[],[],[],0,,0
256,"[48.0, 96.99484522385713]",t,1,0,[],[],[],0,,0
257,"[60.0, 96.99484522385713]",t,1,0,[],[],[],0,,0
258,"[72.0, 96.99484522385713]",t,1,0,[],[],[],0,,0
259,"[84.0, 96.99484522385713]",t,1,0,[],[],[],0,,0
260,"[96.0, 96.99484522385713]",t,1,0,[],[],[],0,,0
261,"[6.0, 100.45894683899488]",t,1,0,[],[],[],0,,0
262,"[18.0, 100.45894683899488]",t,1,0,[],[],[],0,,0
263,"[30.0, 100.45894683899488]",t,1,0,[],[],[],0,,0
264,"[42.0, 100.45894683899488]",f,Infinity,0,[],[],[],0,,0
265,"[54.0, 100.45894683899488]",t,1,0,[],[],[],0,,0
266,"[66.0, 100.45894683899488]",t,1,0,[],[],[],0,,0
267,"[78.0, 100.45894683899488]",t,1,0,[],[],[],0,,0
268,"[90.0, 100.45894683899488]",t,1,0,[],[],[],0,,0
269,"[102.0, 100.45894683899488]",t,1,0,[],[],[],0,,0
270,"[0.0, 103.92304845413263]",f,Infinity,0,[],[],[],0,,0
271,"[12.0, 103.92304845413263]",t,1,0,[],[],[],0,,0
272,"[24.0, 103.92304845413263]",f,Infinity,0,[],[],[],0,,0
273,"[36.0, 103.92304845413263]",f,Infinity,0,[],[],[],0,,0
274,"[48.0, 103.92304845413263]",t,1,0,[],[],[],0,,0
275,"[60.0, 103.92304845413263]",t,1,0,[],[],[],0,,0
276,"[72.0, 103.92304845413263]",t,1,0,[],[],[],0,,0
277,"[84.0, 103.92304845413263]",t,1,0,[],[],[],0,,0
278,"[96.0, 103.92304845413263]",t,1,0,[],[],[],0,,0
279,"[6.0, 107.38715006927038]",t,1,0,[],[],[],0,,0
280,"[18.0, 107.38715006927038]",t,1,0,[],[],[],0,,0
281,"[30.0, 107.38715006927038]",t,1,0,[],[],[],0,,0
282,"[42.0, 107.38715006927038]",f,Infinity,0,[],[],[],0,,0
283,"[54.0, 107.38715006927038]",t,1,0,[],[],[],0,,0
284,"[66.0, 107.38715006927038]",t,1,0,[],[],[],0,,0
285,"[78.0, 107.38715006927038]",t,1,0,[],[],[],0,,0
286,"[90.0, 107.38715006927038]",t,1,0,[],[],[],0,,0
287,"[102.0, 107.38715006927038]",t,1,0,[],[],[],0,,0
288,"[0.0, 110.85125168440814]",f,Infinity,0,[],[],[],0,,0
289,"[12.0, 110.85125168440814]",t,1,0,[],[],[],0,,0
290,"[24.0, 110.85125168440814]",f,Infinity,0,[],[],[],0,,0
291,"[36.0, 110.85125168440814]",f,Infinity,0,[],[],[],0,,0
292,"[48.0, 110.85125168440814]",t,1,0,[],[],[],0,,0
293,"[60.0, 110.85125168440814]",t,1,0,[],[],[],0,,0
294,"[72.0, 110.85125168440814]",t,1,0,[],[],[],0,,0
