grid_id,neighbor_ids,distances
169,"[151, 159, 160, 177, 178, 187]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
170,"[152, 160, 161, 178, 179, 188]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
171,"[153, 162, 163, 180, 181, 189]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
172,"[154, 163, 164, 181, 182, 190]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
173,"[155, 164, 165, 182, 183, 191]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
174,"[156, 165, 166, 183, 184, 192]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
175,"[157, 166, 167, 184, 185, 193]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
176,"[158, 167, 168, 185, 186, 194]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
177,"[159, 168, 169, 186, 187, 195]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
178,"[160, 169, 170, 187, 188, 196]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.9282032302755]"
179,"[161, 170, 188, 197]","[6.928203230275507, 6.9282032302755105, 6.928203230275507, 6.9282032302755]"
180,"[162, 171, 189, 198]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
181,"[163, 171, 172, 189, 190, 199]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
182,"[164, 172, 173, 190, 191, 200]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
183,"[165, 173, 174, 191, 192, 201]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
184,"[166, 174, 175, 192, 193, 202]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
185,"[167, 175, 176, 193, 194, 203]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275507, 6.928203230275514]"
